Saturday,05,November,2022,23:14:53:40973,VCDS Version: Release 12.12.0,Data version: 20130910
8D0 907 401 B,, 2.5l/4VT EDC G01SG  D41 ,

,Group A:,'011,,,,Group B:, Not Running,,,,Group C:, Not Running
,,Engine speed,Spec. intake press.,Actual intake press,N75 duty cycle,,,,,,,,,,
,TIME,2900-4000,1900-2300 mbar,1900-2300 mbar,,TIME,,,,,TIME,,,,
Marker,STAMP, /min, mbar, mbar, %,STAMP,,,,,STAMP,,,,
,0.02,742,999.6,999.6,67.5,,,,,,,,,,
,0.36,742,999.6,1009.8,67.5,,,,,,,,,,
,0.72,742,999.6,999.6,67.9,,,,,,,,,,
,1.08,742,999.6,999.6,67.5,,,,,,,,,,
,1.42,789,1071.0,999.6,76.1,,,,,,,,,,
,1.78,1369,1111.8,989.4,76.5,,,,,,,,,,
,2.14,1137,1060.8,1030.2,69.4,,,,,,,,,,
,2.50,951,1030.2,1030.2,72.6,,,,,,,,,,
,2.86,742,1203.6,1040.4,77.3,,,,,,,,,,
,3.22,812,1050.6,1040.4,76.1,,,,,,,,,,
,3.62,905,1009.8,1040.4,67.1,,,,,,,,,,
,3.98,928,1009.8,1050.6,68.3,,,,,,,,,,
,4.33,905,1020.0,1040.4,67.1,,,,,,,,,,
,4.67,882,1009.8,1040.4,67.1,,,,,,,,,,
,5.03,905,1009.8,1030.2,67.1,,,,,,,,,,
,5.39,882,1020.0,1020.0,67.1,,,,,,,,,,
,5.75,882,1020.0,1020.0,71.0,,,,,,,,,,
,6.12,835,1071.0,1020.0,76.1,,,,,,,,,,
,6.48,835,1122.0,1020.0,76.1,,,,,,,,,,
,6.83,905,1111.8,1030.2,76.1,,,,,,,,,,
,7.17,974,1040.4,1030.2,76.1,,,,,,,,,,
,7.53,1021,1020.0,1040.4,67.5,,,,,,,,,,
,7.89,1090,1040.4,1030.2,71.8,,,,,,,,,,
,8.25,1160,1030.2,1030.2,67.9,,,,,,,,,,
,8.59,1230,1030.2,1040.4,66.3,,,,,,,,,,
,8.95,1276,1030.2,1040.4,65.9,,,,,,,,,,
,9.32,1322,1040.4,1030.2,65.5,,,,,,,,,,
,9.67,1392,1060.8,1040.4,60.0,,,,,,,,,,
,10.04,1462,1071.0,1030.2,59.2,,,,,,,,,,
,10.39,1578,1091.4,1040.4,61.5,,,,,,,,,,
,10.75,1670,1101.6,1040.4,63.5,,,,,,,,,,
,11.09,1740,1111.8,1040.4,62.3,,,,,,,,,,
,11.47,1763,1111.8,1040.4,61.9,,,,,,,,,,
,11.83,1786,1111.8,1050.6,62.3,,,,,,,,,,
,12.20,1810,1122.0,1050.6,58.4,,,,,,,,,,
,12.57,1856,1122.0,1050.6,56.8,,,,,,,,,,
,12.92,1856,1071.0,1030.2,45.0,,,,,,,,,,
,13.26,1462,1071.0,1040.4,45.0,,,,,,,,,,
,13.61,1114,1020.0,1040.4,71.0,,,,,,,,,,
,13.96,1021,1009.8,1040.4,67.5,,,,,,,,,,
,14.31,1044,1030.2,1040.4,70.2,,,,,,,,,,
,14.67,1090,1183.2,1030.2,72.2,,,,,,,,,,
,15.03,1183,1285.2,1050.6,93.1,,,,,,,,,,
,15.38,1276,1224.0,1091.4,78.9,,,,,,,,,,
,15.73,1346,1122.0,1132.2,68.6,,,,,,,,,,
,16.09,1415,1101.6,1173.0,62.3,,,,,,,,,,
,16.45,1438,1091.4,1142.4,59.6,,,,,,,,,,
,16.80,1485,1091.4,1111.8,57.6,,,,,,,,,,
,17.16,1508,1213.8,1111.8,79.3,,,,,,,,,,
,17.51,1578,1305.6,1101.6,86.4,,,,,,,,,,
,17.86,1647,1295.4,1173.0,84.4,,,,,,,,,,
,18.21,1740,1295.4,1213.8,82.9,,,,,,,,,,
,18.56,1786,1071.0,1234.2,45.0,,,,,,,,,,
,18.92,1462,1071.0,1162.8,45.0,,,,,,,,,,
,19.28,1322,1734.0,1111.8,91.5,,,,,,,,,,
,19.63,1253,1846.2,1173.0,92.3,,,,,,,,,,
,19.98,1299,1856.4,1224.0,91.5,,,,,,,,,,
,20.34,1346,1876.8,1285.2,90.7,,,,,,,,,,
,20.70,1415,1897.2,1346.4,90.0,,,,,,,,,,
,21.05,1485,1917.6,1438.2,88.8,,,,,,,,,,
,21.41,1578,1917.6,1540.2,86.0,,,,,,,,,,
,21.77,1670,1927.8,1652.4,83.6,,,,,,,,,,
,22.12,1763,1938.0,1785.0,78.1,,,,,,,,,,
,22.48,1856,1958.4,1897.2,72.6,,,,,,,,,,
,22.84,1949,1978.8,2029.8,65.1,,,,,,,,,,
,23.20,2018,1989.0,2162.4,53.7,,,,,,,,,,
,23.55,2111,1989.0,2284.8,38.7,,,,,,,,,,
,23.91,2204,1999.2,2101.2,62.3,,,,,,,,,,
,24.27,2320,2009.4,1836.0,60.4,,,,,,,,,,
,24.63,2413,2019.6,1846.2,63.9,,,,,,,,,,
,24.98,2506,2019.6,1897.2,62.3,,,,,,,,,,
,25.34,2598,2029.8,1978.8,59.6,,,,,,,,,,
,25.70,2714,2040.0,2050.2,56.8,,,,,,,,,,
,26.06,2807,2040.0,2111.4,53.3,,,,,,,,,,
,26.42,2900,2050.2,2142.0,49.7,,,,,,,,,,
,26.78,2993,2050.2,2121.6,50.1,,,,,,,,,,
,27.12,3086,2060.4,2009.4,58.0,,,,,,,,,,
,27.48,3178,2080.8,1989.0,59.6,,,,,,,,,,
,27.85,3271,2091.0,2080.8,55.2,,,,,,,,,,
,28.20,3364,2101.2,2111.4,55.6,,,,,,,,,,
,28.55,3457,2121.6,2111.4,56.0,,,,,,,,,,
,28.91,3550,2121.6,2131.8,54.4,,,,,,,,,,
,29.27,3642,2121.6,2142.0,54.8,,,,,,,,,,
,29.63,3712,2121.6,2131.8,55.2,,,,,,,,,,
,29.98,3805,2121.6,2121.6,54.8,,,,,,,,,,
,30.35,3898,2121.6,2121.6,55.2,,,,,,,,,,
,30.70,3990,2121.6,2121.6,55.2,,,,,,,,,,
,31.06,4060,2121.6,2121.6,55.6,,,,,,,,,,
,31.42,4153,2121.6,2131.8,54.1,,,,,,,,,,
,31.78,4199,2111.4,2111.4,56.0,,,,,,,,,,
,32.14,4292,2111.4,2111.4,55.2,,,,,,,,,,
,48.54,1485,1071.0,1020.0,45.0,,,,,,,,,,
,48.90,1462,1071.0,1020.0,45.0,,,,,,,,,,
,49.25,1438,1071.0,1020.0,45.0,,,,,,,,,,
,49.59,1438,1071.0,1009.8,45.0,,,,,,,,,,
,49.95,1392,1071.0,1020.0,45.0,,,,,,,,,,
,50.31,1369,1071.0,1009.8,45.0,,,,,,,,,,
,50.67,1322,1071.0,1009.8,45.0,,,,,,,,,,
,51.01,1299,1071.0,1020.0,45.0,,,,,,,,,,
,51.39,1276,1071.0,1009.8,45.0,,,,,,,,,,
,51.74,1230,1071.0,1009.8,45.4,,,,,,,,,,
,52.09,1206,1060.8,1009.8,48.9,,,,,,,,,,
,52.45,1183,1060.8,1009.8,52.5,,,,,,,,,,
,52.81,1160,1050.6,1009.8,55.6,,,,,,,,,,
,53.17,1137,1040.4,1020.0,58.4,,,,,,,,,,
,53.53,1114,1040.4,1020.0,61.5,,,,,,,,,,
,53.90,1090,1030.2,1020.0,63.5,,,,,,,,,,
,54.26,1067,1030.2,1020.0,65.9,,,,,,,,,,
